"N_EFF_Scenario","Rt","CFR_Crisis","VSL","Economic_Loss_BUSD"
7500000,2.7,0.85,5,10345.2083333333
7500000,3.1,0.5,1,1367.20161290323
7500000,3.1,0.5,3,4101.60483870968
7500000,3.1,0.5,5,6836.00806451613
7500000,3.1,0.55,1,1489.89919354839
7500000,3.1,0.55,3,4469.69758064516
7500000,3.1,0.55,5,7449.49596774194
7500000,3.1,0.6,1,1612.59677419355
7500000,3.1,0.6,3,4837.79032258065
7500000,3.1,0.6,5,8062.98387096774
7500000,3.1,0.65,1,1735.29435483871
7500000,3.1,0.65,3,5205.88306451613
7500000,3.1,0.65,5,8676.47177419355
7500000,3.1,0.7,1,1857.99193548387
7500000,3.1,0.7,3,5573.97580645161
7500000,3.1,0.7,5,9289.95967741936
7500000,3.1,0.75,1,1980.68951612903
7500000,3.1,0.75,3,5942.0685483871
7500000,3.1,0.75,5,9903.44758064516
7500000,3.1,0.8,1,2103.38709677419
7500000,3.1,0.8,3,6310.16129032258
7500000,3.1,0.8,5,10516.935483871
7500000,3.1,0.85,1,2226.08467741936
7500000,3.1,0.85,3,6678.25403225806
7500000,3.1,0.85,5,11130.4233870968
7500000,3.5,0.5,1,1441.60714285714
7500000,3.5,0.5,3,4324.82142857143
7500000,3.5,0.5,5,7208.03571428571
7500000,3.5,0.55,1,1570.98214285714
7500000,3.5,0.55,3,4712.94642857143
7500000,3.5,0.55,5,7854.91071428572
7500000,3.5,0.6,1,1700.35714285714
7500000,3.5,0.6,3,5101.07142857143
7500000,3.5,0.6,5,8501.78571428572
7500000,3.5,0.65,1,1829.73214285714
7500000,3.5,0.65,3,5489.19642857143
7500000,3.5,0.65,5,9148.66071428572
7500000,3.5,0.7,1,1959.10714285714
7500000,3.5,0.7,3,5877.32142857143
7500000,3.5,0.7,5,9795.53571428571
7500000,3.5,0.75,1,2088.48214285714
7500000,3.5,0.75,3,6265.44642857143
7500000,3.5,0.75,5,10442.4107142857
7500000,3.5,0.8,1,2217.85714285714
7500000,3.5,0.8,3,6653.57142857143
7500000,3.5,0.8,5,11089.2857142857
7500000,3.5,0.85,1,2347.23214285714
7500000,3.5,0.85,3,7041.69642857143
7500000,3.5,0.85,5,11736.1607142857
